ip,status
1.6.141.39,dead
1.6.141.195,dead
1.6.142.2,dead
1.6.142.75,dead
1.6.143.153,dead
1.6.143.157,dead
1.6.144.32,dead
1.6.144.74,dead
1.6.144.155,dead
1.6.144.241,dead
1.6.145.107,dead
1.6.145.151,dead
1.6.146.37,dead
1.6.146.113,dead
1.6.146.115,dead
1.6.146.169,dead
1.6.146.241,dead
1.6.147.24,dead
1.6.147.72,dead
1.6.147.88,dead
1.6.147.124,dead
1.6.147.132,dead
1.6.147.184,dead
1.6.147.204,dead
1.6.148.4,dead
1.6.148.89,dead
1.6.148.94,dead
1.6.148.95,dead
1.6.149.183,dead
1.6.150.7,dead
1.6.150.163,dead
1.6.150.241,dead
1.6.151.239,dead
1.6.152.161,dead
1.6.152.213,dead
1.6.154.37,dead
1.6.154.113,dead
1.6.154.153,dead
1.6.154.181,dead
1.6.156.25,dead
1.6.156.26,dead
1.6.158.53,dead
1.6.158.73,dead
1.6.158.74,dead
1.6.158.239,dead
1.6.159.27,dead
1.6.159.29,dead
1.6.159.59,dead
1.6.159.61,dead
1.6.159.155,dead
1.6.159.191,dead
1.6.159.234,dead
1.6.159.236,dead
1.6.159.251,dead
1.6.160.34,dead
1.6.160.45,dead
1.6.160.77,dead
1.6.160.117,dead
1.6.162.63,dead
1.6.162.113,dead
1.6.162.154,dead
1.6.163.73,dead
1.6.163.157,dead
1.6.163.195,dead
1.6.163.241,dead
1.6.164.37,dead
1.6.164.93,dead
1.6.164.164,dead
1.6.164.185,dead
1.6.165.65,dead
1.6.165.245,dead
1.6.165.249,dead
1.6.166.7,dead
1.6.166.75,dead
1.6.166.197,dead
1.6.166.235,dead
1.6.167.4,dead
1.6.167.20,dead
1.6.167.72,dead
1.6.167.84,dead
1.6.167.104,dead
1.6.167.116,dead
1.6.167.136,dead
1.6.167.152,dead
1.6.167.184,dead
1.6.167.204,dead
1.6.167.212,dead
1.6.168.36,dead
1.6.168.129,dead
1.6.168.131,dead
1.6.168.133,dead
1.6.168.135,dead
1.6.168.211,dead
1.6.169.225,dead
1.6.170.35,dead
1.6.170.52,dead
1.6.170.77,dead
1.6.170.79,dead
1.6.170.115,dead
1.6.170.155,dead
1.6.170.165,dead
1.6.170.237,dead
1.6.171.43,dead
1.6.171.203,dead
1.6.171.205,dead
1.6.172.25,dead
1.6.172.27,dead
1.6.172.71,dead
1.6.172.229,dead
1.6.173.33,dead
1.6.173.39,dead
1.6.173.119,dead
1.6.173.153,dead
1.6.173.197,dead
1.6.173.235,dead
1.6.173.253,dead
1.6.174.73,dead
1.6.174.75,dead
1.6.174.177,dead
1.6.174.179,dead
1.6.174.219,dead
1.6.174.222,dead
1.6.174.228,dead
1.6.174.240,dead
1.6.174.247,dead
1.6.176.14,dead
1.6.176.25,dead
1.6.176.27,dead
1.6.176.122,dead
1.6.176.155,dead
1.6.176.198,dead
1.6.176.233,dead
1.6.178.250,dead
1.6.179.154,dead
1.6.179.233,dead
1.6.179.237,dead
1.6.180.144,dead
1.6.180.185,dead
1.6.180.191,dead
1.6.181.140,dead
1.6.183.85,dead
1.6.183.161,dead
1.6.183.163,dead
1.6.185.119,dead
1.6.185.158,dead
1.6.187.113,dead
1.6.190.34,dead
1.6.190.213,dead
1.6.191.77,dead
1.6.191.79,dead
1.6.191.130,dead
1.6.191.157,dead
1.6.194.5,dead
1.6.194.71,dead
1.6.194.186,dead
1.6.195.4,dead
1.6.195.124,dead
1.6.195.132,dead
1.6.195.152,dead
1.6.195.164,dead
1.6.195.184,dead
1.6.195.192,dead
1.6.195.221,dead
1.6.195.232,dead
1.6.196.43,dead
1.6.196.129,dead
1.6.196.195,alive
1.6.196.229,dead
1.6.197.89,dead
1.6.199.89,dead
1.6.200.8,dead
1.6.201.72,dead
1.6.204.34,dead
1.6.204.77,dead
1.6.204.100,dead
1.6.204.124,dead
1.6.204.132,dead
1.6.204.152,dead
1.6.206.33,dead
1.6.206.69,dead
1.6.206.107,dead
1.6.206.147,dead
1.6.206.191,dead
1.6.207.39,dead
1.6.207.77,dead
1.6.207.117,dead
1.6.207.155,dead
1.6.207.223,dead
1.6.207.243,dead
1.6.208.35,dead
1.6.208.73,dead
1.6.208.119,dead
1.6.209.33,dead
1.6.209.35,dead
1.6.209.117,dead
1.6.209.119,dead
1.6.209.153,dead
1.6.210.130,dead
1.6.210.213,dead
1.6.210.215,dead
1.6.211.0,dead
1.6.211.7,dead
1.6.211.117,dead
